Temperatura,VelocidadViento,Presion,Humedad
6.111111111,6.6493,1014.45,0.82
6.788888889,13.0088,1014.49,0.83
7.155555556,11.0768,1014.47,0.79
7.261111111,11.1734,1014.52,0.85
7.366666666,11.27,1014.57,0.91
7.472222221,11.3666,1014.62,0.97
7.577777776,11.4632,1014.67,1.03
7.683333331,11.5598,1014.72,1.09
7.788888886,11.6564,1014.77,1.15
7.733333333,12.3648,1016.72,0.95
7.8,12.8156,1014.16,0.83
8.288888889,14.1036,1016.41,0.83
8.755555556,11.0446,1016.51,0.83
8.772222222,14.1519,1016.84,0.89
9.222222222,13.9587,1016.66,0.85
9.244444446,15.9456,1014.08,0.71
9.266666668,15.6094,1014.39,0.74
9.288888894,16.82193333,1012.773333,0.656666667
9.311111118,17.64728333,1011.638333,0.601666667
9.333333342,18.47263333,1010.503333,0.546666667
9.355555566,19.29798333,1009.368333,0.491666667
9.37777779,20.12333333,1008.233333,0.436666667
9.400000014,20.94868333,1007.098333,0.381666667
9.28888889,15.2732,1014.7,0.77
9.311111112,14.937,1015.01,0.8
9.333333334,14.6008,1015.32,0.83
9.355555556,14.2646,1015.63,0.86
9.377777778,13.9284,1015.94,0.89
9.472222222,14.1197,1015.13,0.89
9.872222222,13.7494,1014.24,0.78
9.911111111,17.2109,1014.2,0.66
10.11666667,6.6493,1015.4,0.79
10.2,3.9284,1015.51,0.77
10.42222222,16.9855,1014.4,0.62
10.82222222,11.3183,1017.37,0.82
11.18333333,9.9266,1015.77,0.76
11.186,10.8192,1008.71,0.8
11.18866667,16.7118,1001.65,0.84
11.19133334,22.6044,994.59,0.88
11.19400001,28.497,987.53,0.92
11.19666668,24.3896,980.47,0.96
11.19933335,30.2822,973.41,1
11.20200002,26.1748,966.35,1.04
11.55,17.3899,1015.85,0.77
12.22222222,15.6331,1014.25,0.72
13.14444444,17.6314,1015.83,0.7
13.28333333,14.3612,1007.26,0.63
13.77222222,12.5258,1017.22,0.72
13.794,17.0982,1007.36,0.6
13.81577778,21.6706,997.5,0.48
13.83755556,26.243,987.64,0.36
13.85933334,30.8154,977.78,0.24
13.88111112,25.3878,967.92,0.12
13.9028889,39.9602,958.06,0.48
13.92466668,34.5326,948.2,0.72
14.25555556,8.5169,1015.82,0.69
14.266,16.5025,1007.89,0.59
14.27644444,24.4881,999.96,0.49
14.28688888,32.4737,992.03,0.39
14.29733332,40.4593,984.1,0.29
14.30777776,48.4449,976.17,0.19
14.3182222,56.4305,968.24,0.09
14.42222222,20.0123,1007.85,0.58
15.02222222,21.3808,1008.15,0.55
15.09444444,17.549,1013.96,0.61
15.38888889,14.4095,1016.15,0.6
15.55,11.1573,1016.17,0.63
15.71111111,17.9051,1016.19,0.66
15.87222222,14.6529,1016.21,0.69
16.03333333,11.4007,1016.23,0.72
16.19444444,13.8515,1016.25,0.75
16.35555555,15.1037,1016.27,0.78
16.51666666,18.3559,1016.29,0.81
16.67777777,11.6081,1016.31,0.84
16.83888888,14.8603,1016.33,0.87
16.01666667,17.5651,1017.42,0.67
16.06111111,21.3969,1008.11,0.53
17.14444444,19.7869,1017.74,0.54
17.33333333,20.6885,1017.48,0.51
17.35555556,22.7815,1013.85,0.52
17.8,21.9443,1017.59,0.55
17.8,20.0445,1008.36,0.5
18.87777778,15.3755,1017.17,0.47
18.91111111,10.4006,1016.47,0.46
19.00555556,23.8924,1013.04,0.46
20,23.4255,1008.76,0.43
20.04444444,28.3682,1012.22,0.4
20.08888888,33.3109,1015.68,0.37
20.13333332,38.2536,1019.14,0.34
20.17777776,43.1963,1022.6,0.31
20.2222222,48.139,1026.06,0.28
20.26666664,53.0817,1029.52,0.25
20.11666667,25.3092,1009.83,0.4
20.21666667,18.1125,1009.26,0.36
21.05,26.9031,1011.44,0.4
21.18333333,25.6956,1010.52,0.37
21.31666666,24.4881,1009.6,0.34
21.44999999,23.2806,1008.68,0.31
21.58333332,22.0731,1007.76,0.28
21.71666665,20.8656,1006.84,0.25
21.84999998,19.6581,1005.92,0.22
21.98333331,18.4506,1005,0.19
22.11666664,17.2431,1004.08,0.16
22.24999997,16.0356,1003.16,0.13
